//DATASET,
//created,Mon, 15 Feb 2021 21:26:36 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
193.808,194.0078,-55.76
194.0078,194.2077,-55.4448
194.2077,194.4075,-55.4937
194.4075,194.6073,-55.8282
194.6073,194.8072,-56.1059
194.8072,195.007,-55.8422
195.007,195.2069,-54.67
195.2069,195.4067,-52.5505
195.4067,195.6066,-49.9184
195.6066,195.8064,-47.5418
195.8064,196.0062,-46.2214
196.0062,196.2061,-46.4523



//TRACE,Optical Spectrum,Input 1 (Run 12) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.5925
192.3,2.5377
193.5,1.9199
193.7,2.344
193.9,2.8127
194.2,3.0858
194.4,2.8229
194.5,2.6085
194.6,2.3966
195,2.7537
195.3,5.3022
195.4,6.5075
195.5,7.7649
195.8,10.8331

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.9982
191.8095,192.0094,-58.256
192.0094,192.2092,-57.691
192.2092,192.4091,-57.3674
192.4091,192.6089,-57.3089
192.6089,192.8088,-57.4767
192.8088,193.0086,-57.7617
193.0086,193.2084,-58.0051
193.2084,193.4083,-58.0502
193.4083,193.6081,-57.8166
193.6081,193.808,-57.3593
193.808,194.0078,-56.8682
194.0078,194.2077,-56.5857
194.2077,194.4075,-56.6628
194.4075,194.6073,-57.0272
194.6073,194.8072,-57.3484
194.8072,195.007,-57.1538
195.007,195.2069,-56.0823
195.2069,195.4067,-54.0912
195.4067,195.6066,-51.5955
195.6066,195.8064,-49.3335
195.8064,196.0062,-48.0761
196.0062,196.2061,-48.3



//TRACE,Optical Spectrum,Input 1 (Run 13) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.7233
191.8,2.122
192.1,3.0777
192.2,3.2847
192.3,3.4252
192.4,3.497
192.5,3.5024
192.7,3.3452
192.9,3.0623
193,2.9233
193.1,2.8146
193.2,2.7565
193.4,2.8443
193.5,2.9952
193.8,3.725
193.9,3.969
194.2,4.2923
194.3,4.2155
194.5,3.8595
194.7,3.5409
194.8,3.547
195.1,4.8474
195.2,5.778
195.3,6.9136
195.4,8.1931
195.5,9.5231
195.6,10.7992

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2462
191.8095,192.0094,-57.4501
192.0094,192.2092,-56.8357
192.2092,192.4091,-56.4694
192.4091,192.6089,-56.3751
192.6089,192.8088,-56.5127
192.8088,193.0086,-56.7705
193.0086,193.2084,-56.9857
193.2084,193.4083,-56.9988
193.4083,193.6081,-56.7282
193.6081,193.808,-56.2308
193.808,194.0078,-55.7005
194.0078,194.2077,-55.3836
194.2077,194.4075,-55.431
194.4075,194.6073,-55.7639
194.6073,194.8072,-56.0393
194.8072,195.007,-55.7718
195.007,195.2069,-54.5942
195.2069,195.4067,-52.4678
195.4067,195.6066,-49.8284
195.6066,195.8064,-47.4456
195.8064,196.0062,-46.1218
196.0062,196.2061,-46.3531



//TRACE,Optical Spectrum,Input 1 (Run 14) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,2.1136
192.6,3.4374
192.7,3.3348
193.6,3.1957
193.7,3.4479
194.9,3.7282
195,4.1539
195.2,5.7612
195.5,9.504

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2544
191.8095,192.0094,-57.4588
192.0094,192.2092,-56.8451
192.2092,192.4091,-56.4792
192.4091,192.6089,-56.3852
192.6089,192.8088,-56.5232
192.8088,193.0086,-56.7813
193.0086,193.2084,-56.9968
193.2084,193.4083,-57.0103
193.4083,193.6081,-56.74
193.6081,193.808,-56.2431
193.808,194.0078,-55.7133
194.0078,194.2077,-55.3967
194.2077,194.4075,-55.4444
194.4075,194.6073,-55.7776
194.6073,194.8072,-56.0535
194.8072,195.007,-55.7869
195.007,195.2069,-54.6104
195.2069,195.4067,-52.4855
195.4067,195.6066,-49.8477
195.6066,195.8064,-47.4662
195.8064,196.0062,-46.1431
196.0062,196.2061,-46.3743



//TRACE,Optical Spectrum,Input 1 (Run 15) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.6734
191.9,2.0229
192.1,2.5838
192.3,2.9059
192.4,2.9666
192.5,2.962
192.6,2.8982
192.8,2.6445
193.1,2.2255
193.2,2.1587
