//DATASET,
//created,Sun, 07 Feb 2021 13:19:08 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.0094,192.2092,-57.3583
192.2092,192.4091,-57.0181
192.4091,192.6089,-56.9456
192.6089,192.8088,-57.1017
192.8088,193.0086,-57.3761
193.0086,193.2084,-57.6085
193.2084,193.4083,-57.6411
193.4083,193.6081,-57.3931
193.6081,193.808,-56.9202
193.808,194.0078,-56.4139
194.0078,194.2077,-56.1181
194.2077,194.4075,-56.1835
194.4075,194.6073,-56.5357
194.6073,194.8072,-56.839
194.8072,195.007,-56.6161
195.007,195.2069,-55.5033
195.2069,195.4067,-53.4598
195.4067,195.6066,-50.9083
195.6066,195.8064,-48.5994
195.8064,196.0062,-47.3162
196.0062,196.2061,-47.543



//TRACE,Optical Spectrum,Input 1 (Run 16) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0595
191.7,1.4708
191.8,1.8598
191.9,2.2159
192,2.5288
192.1,2.789
192.2,2.9883
192.3,3.1217
192.4,3.187
192.5,3.1866
192.6,3.1265
192.7,3.0192
192.8,2.8795
192.9,2.7272
193,2.5837
193.1,2.4703
193.2,2.4071
193.3,2.4084
193.4,2.4831
193.5,2.6274
193.6,2.833
193.7,3.0784
193.8,3.3363
193.9,3.5735
194,3.7585
194.2,3.8797
194.3,3.7979
194.4,3.6356
194.5,3.4317
194.6,3.2324
194.7,3.0981
194.8,3.0933
194.9,3.2757
195,3.6852
195.1,4.3435
195.3,6.3625
195.4,7.6166
195.5,8.9218
195.6,10.175
195.7,11.2677
195.8,12.0997

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5032
191.8095,192.0094,-57.7255
192.0094,192.2092,-57.128
192.2092,192.4091,-56.7763
192.4091,192.6089,-56.6942
192.6089,192.8088,-56.8422
192.8088,193.0086,-57.1092
193.0086,193.2084,-57.3341
193.2084,193.4083,-57.3581
193.4083,193.6081,-57.1001
193.6081,193.808,-56.6164
193.808,194.0078,-56.0996
194.0078,194.2077,-55.7944
194.2077,194.4075,-55.8519
194.4075,194.6073,-56.1956
194.6073,194.8072,-56.4866
194.8072,195.007,-56.244
195.007,195.2069,-55.1027
195.2069,195.4067,-53.0227
195.4067,195.6066,-50.4326
195.6066,195.8064,-48.0911
195.8064,196.0062,-46.7901
196.0062,196.2061,-47.0188



//TRACE,Optical Spectrum,Input 1 (Run 17) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,2.3283
192.1,2.9085
192.6,3.2594
192.7,3.1541
193.1,2.6128
193.3,2.5554
193.4,2.6325
193.6,2.988
193.7,3.2363
193.8,3.4971
194.3,3.9707
194.5,3.6087
195,3.8855
195.2,5.4693
195.5,9.1707
195.6,10.4333

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3968
191.8095,192.0094,-57.6115
192.0094,192.2092,-57.0071
192.2092,192.4091,-56.6493
192.4091,192.6089,-56.5621
192.6089,192.8088,-56.7058
192.8088,193.0086,-56.969
193.0086,193.2084,-57.1899
193.2084,193.4083,-57.2094
193.4083,193.6081,-56.9462
193.6081,193.808,-56.4568
193.808,194.0078,-55.9344
194.0078,194.2077,-55.6244
194.2077,194.4075,-55.6777
194.4075,194.6073,-56.0169
194.6073,194.8072,-56.3014
194.8072,195.007,-56.0486
195.007,195.2069,-54.8923
195.2069,195.4067,-52.7931
195.4067,195.6066,-50.1825
195.6066,195.8064,-47.824
195.8064,196.0062,-46.5135
196.0062,196.2061,-46.7434



//TRACE,Optical Spectrum,Input 1 (Run 18) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192,1.5375
192.6,1.991
192.9,1.5426
193.2,1.1714
193.3,1.1529
194.3,2.3216
194.4,2.142
195.4,5.5782
195.5,6.7956
195.6,7.9678
195.8,9.7718

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.4136
191.8095,192.0094,-58.7012
192.0094,192.2092,-58.1633
192.2092,192.4091,-57.8634
192.4091,192.6089,-57.8247
192.6089,192.8088,-58.0091
192.8088,193.0086,-58.3093
193.0086,193.2084,-58.5683
193.2084,193.4083,-58.6312
193.4083,193.6081,-58.418
193.6081,193.808,-57.9828
193.808,194.0078,-57.5133
194.0078,194.2077,-57.2498
194.2077,194.4075,-57.3432
194.4075,194.6073,-57.7253
194.6073,194.8072,-58.0719
194.8072,195.007,-57.9177
