//DATASET,
//created,Sat, 06 Feb 2021 20:41:30 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
194.2077,194.4075,-55.9075
194.4075,194.6073,-56.2526
194.6073,194.8072,-56.5457
194.8072,195.007,-56.3064
195.007,195.2069,-55.1699
195.2069,195.4067,-53.096
195.4067,195.6066,-50.5124
195.6066,195.8064,-48.1764
195.8064,196.0062,-46.8783
196.0062,196.2061,-47.1068



//TRACE,Optical Spectrum,Input 1 (Run 13) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.7576
191.8,2.6137
191.9,2.9965
192.1,3.6191
192.2,3.8406
192.4,4.0783
192.8,3.83
192.9,3.6906
193.1,3.4604
193.2,3.4119
193.3,3.4294
193.4,3.5216
193.5,3.6848
193.6,3.9102
193.7,4.1759
193.9,4.7106
194,4.9136
194.1,5.0384
194.2,5.0662
194.3,4.9985
194.4,4.8502
194.5,4.6619
194.6,4.4816
194.7,4.3714
194.8,4.3977
194.9,4.6196
195,5.0773
195.1,5.7925
195.4,9.2742
195.5,10.6508

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.7648
191.8095,192.0094,-56.934
192.0094,192.2092,-56.2881
192.2092,192.4091,-55.8943
192.4091,192.6089,-55.777
192.6089,192.8088,-55.8955
192.8088,193.0086,-56.1359
193.0086,193.2084,-56.3332
193.2084,193.4083,-56.3258
193.4083,193.6081,-56.0315
193.6081,193.808,-55.5083
193.808,194.0078,-54.9528
194.0078,194.2077,-54.6138
194.2077,194.4075,-54.6422
194.4075,194.6073,-54.9551
194.6073,194.8072,-55.2013
194.8072,195.007,-54.8872
195.007,195.2069,-53.6414
195.2069,195.4067,-51.4279
195.4067,195.6066,-48.6958
195.6066,195.8064,-46.2352
195.8064,196.0062,-44.8688
196.0062,196.2061,-45.1048



//TRACE,Optical Spectrum,Input 1 (Run 14) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.3808
191.8,2.2067
191.9,2.5752
192,2.8997
192.1,3.171
192.2,3.3805
192.3,3.5233
192.5,3.6045
192.6,3.5514
192.7,3.4506
192.8,3.3169
192.9,3.1706
193,3.033
193.2,2.8695
193.3,2.8782
193.4,2.961
193.7,3.5834
193.8,3.8506
194,4.29
194.1,4.406
194.2,4.4257
194.5,3.9978
194.7,3.684
194.8,3.6936
194.9,3.8942
195,4.3258
195.1,5.0103
195.2,5.9481
195.4,8.3794
195.5,9.7175
195.7,12.1194

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1632
191.8095,192.0094,-57.3611
192.0094,192.2092,-56.7413
192.2092,192.4091,-56.3702
192.4091,192.6089,-56.272
192.6089,192.8088,-56.4063
192.8088,193.0086,-56.6611
193.0086,193.2084,-56.8732
193.2084,193.4083,-56.8828
193.4083,193.6081,-56.6081
193.6081,193.808,-56.1062
193.808,194.0078,-55.5716
194.0078,194.2077,-55.2509
194.2077,194.4075,-55.295
194.4075,194.6073,-55.6244
194.6073,194.8072,-55.8948
194.8072,195.007,-55.6193
195.007,195.2069,-54.4299
195.2069,195.4067,-52.2886
195.4067,195.6066,-49.6332
195.6066,195.8064,-47.237
195.8064,196.0062,-45.9059
196.0062,196.2061,-46.138



//TRACE,Optical Spectrum,Input 1 (Run 15) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.7252
191.8,1.4987
192,2.1427
192.3,2.7037
192.5,2.7516
193.1,1.9962
193.6,2.3171
194.2,3.3114
194.3,3.223
194.7,2.4882
195,3.0185
195.4,6.8228
195.5,8.0938
195.8,11.1931

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.8574
191.8095,192.0094,-58.1051
192.0094,192.2092,-57.5309
192.2092,192.4091,-57.1993
192.4091,192.6089,-57.1341
192.6089,192.8088,-57.2962
192.8088,193.0086,-57.5761
193.0086,193.2084,-57.8142
193.2084,193.4083,-57.8533
193.4083,193.6081,-57.6128
193.6081,193.808,-57.148
193.808,194.0078,-56.6496
194.0078,194.2077,-56.3607
194.2077,194.4075,-56.4322
194.4075,194.6073,-56.7907
194.6073,194.8072,-57.1032
194.8072,195.007,-56.8951
195.007,195.2069,-55.8037
195.2069,195.4067,-53.7874
195.4067,195.6066,-51.2648
195.6066,195.8064,-48.9803
195.8064,196.0062,-47.7105
196.0062,196.2061,-47.9358



//TRACE,Optical Spectrum,Input 1 (Run 16) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8116
191.7,1.2128
191.8,1.592
191.9,1.9387
192.1,2.4941
192.2,2.6855
192.3,2.8117
192.6,2.7985
192.7,2.6863
192.8,2.5419
193.2,2.0502
193.3,2.0458
193.4,2.1142
193.5,2.2518
194,3.3481
194.2,3.4582
194.3,3.3715
194.5,2.9947
194.6,2.7887
194.8,2.63
194.9,2.7984
195,3.1907
195.1,3.8288
195.4,7.0278
195.5,8.3077
195.6,9.5374
195.7,10.6103
195.8,11.4273

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7658
191.8095,192.0094,-58.007
192.0094,192.2092,-57.4268
192.2092,192.4091,-57.09
192.4091,192.6089,-57.0205
192.6089,192.8088,-57.1789
192.8088,193.0086,-57.4555
193.0086,193.2084,-57.6901
193.2084,193.4083,-57.7254
193.4083,193.6081,-57.4803
193.6081,193.808,-57.0107
193.808,194.0078,-56.5075
194.0078,194.2077,-56.2144
194.2077,194.4075,-56.2822
194.4075,194.6073,-56.6369
194.6073,194.8072,-56.9439
194.8072,195.007,-56.7268
195.007,195.2069,-55.6225
195.2069,195.4067,-53.5898
195.4067,195.6066,-51.0498
195.6066,195.8064,-48.7506
195.8064,196.0062,-47.4727
196.0062,196.2061,-47.6989



//TRACE,Optical Spectrum,Input 1 (Run 17) 
