//DATASET,
//created,Sat, 06 Feb 2021 17:31:19 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.4,3.0985
192.5,3.0964
192.6,3.0348
192.7,2.9262
192.8,2.7852
192.9,2.6316
193.1,2.372
193.2,2.3073
193.3,2.3071
193.4,2.38
193.5,2.5225
193.6,2.7261
193.7,2.9694
193.9,3.4606
194,3.6438
194.2,3.7619
194.3,3.6788
194.4,3.515
194.5,3.3095
194.6,3.1084
194.7,2.9717
194.8,2.9638
194.9,3.1423
195,3.547
195.1,4.1996
195.2,5.1011
195.3,6.2052
195.4,7.4521
195.5,8.7502
195.6,9.9968
195.7,11.084
195.8,11.9118

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5766
191.8095,192.0094,-57.8041
192.0094,192.2092,-57.2115
192.2092,192.4091,-56.864
192.4091,192.6089,-56.7854
192.6089,192.8088,-56.9362
192.8088,193.0086,-57.206
193.0086,193.2084,-57.4335
193.2084,193.4083,-57.4607
193.4083,193.6081,-57.2063
193.6081,193.808,-56.7266
193.808,194.0078,-56.2136
194.0078,194.2077,-55.9118
194.2077,194.4075,-55.9721
194.4075,194.6073,-56.3189
194.6073,194.8072,-56.6143
194.8072,195.007,-56.3789
195.007,195.2069,-55.248
195.2069,195.4067,-53.1812
195.4067,195.6066,-50.605
195.6066,195.8064,-48.2754
195.8064,196.0062,-46.9808
196.0062,196.2061,-47.2089



//TRACE,Optical Spectrum,Input 1 (Run 13) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9675
191.7,1.375
191.9,2.113
192,2.4225
192.1,2.6795
192.2,2.8759
192.3,3.0066
192.4,3.0694
192.5,3.0668
192.6,3.0047
192.9,2.6002
193,2.455
193.1,2.3398
193.2,2.2746
193.3,2.2738
193.4,2.3461
193.6,2.6909
193.7,2.9336
193.8,3.1889
194,3.6061
194.1,3.7123
194.2,3.7232
194.3,3.6396
194.4,3.4755
194.5,3.2694
194.6,3.0677
194.7,2.9302
194.8,2.9213
194.9,3.0985
195,3.5016
195.1,4.1524
195.2,5.0517
195.3,6.1536
195.4,7.398
195.5,8.6938
195.6,9.9383
195.7,11.0236
195.8,11.8501

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6007
191.8095,192.0094,-57.83
192.0094,192.2092,-57.2389
192.2092,192.4091,-56.8928
192.4091,192.6089,-56.8153
192.6089,192.8088,-56.9671
192.8088,193.0086,-57.2377
193.0086,193.2084,-57.4662
193.2084,193.4083,-57.4944
193.4083,193.6081,-57.2412
193.6081,193.808,-56.7627
193.808,194.0078,-56.251
194.0078,194.2077,-55.9503
194.2077,194.4075,-56.0116
194.4075,194.6073,-56.3594
194.6073,194.8072,-56.6563
194.8072,195.007,-56.4232
195.007,195.2069,-55.2956
195.2069,195.4067,-53.2332
195.4067,195.6066,-50.6617
195.6066,195.8064,-48.3359
195.8064,196.0062,-47.0435
