//DATASET,
//created,Tue, 16 Feb 2021 23:16:58 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.9,5.345



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6832
191.8095,192.0094,-57.9185
192.0094,192.2092,-57.3328
192.2092,192.4091,-56.9914
192.4091,192.6089,-56.9179
192.6089,192.8088,-57.073
192.8088,193.0086,-57.3466
193.0086,193.2084,-57.5781
193.2084,193.4083,-57.6098
193.4083,193.6081,-57.3607
193.6081,193.808,-56.8867
193.808,194.0078,-56.3792
194.0078,194.2077,-56.0823
194.2077,194.4075,-56.1469
194.4075,194.6073,-56.4981
194.6073,194.8072,-56.8
194.8072,195.007,-56.575
195.007,195.2069,-55.4591
195.2069,195.4067,-53.4115
195.4067,195.6066,-50.8557
195.6066,195.8064,-48.5432
195.8064,196.0062,-47.2581
196.0062,196.2061,-47.4851

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8895
191.7,1.2939
191.8,1.6762
191.9,2.0258
192,2.3325
192.2,2.7807
192.5,2.9654
192.6,2.9016
192.8,2.648
193,2.346
193.1,2.2292
193.2,2.1624
193.3,2.1598
193.5,2.3699
193.7,2.8111
193.8,3.064
193.9,3.2966
194.1,3.5815
194.2,3.5907
194.9,2.9485
195.1,3.9906
195.3,5.9766
195.4,7.213
195.5,8.5008
195.7,10.817
195.8,11.6387



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6323
191.8095,192.0094,-57.8639
192.0094,192.2092,-57.275
192.2092,192.4091,-56.9306
192.4091,192.6089,-56.8547
192.6089,192.8088,-57.0078
192.8088,193.0086,-57.2795
193.0086,193.2084,-57.5092
193.2084,193.4083,-57.5387
193.4083,193.6081,-57.2871
193.6081,193.808,-56.8103
193.808,194.0078,-56.3002
194.0078,194.2077,-56.0009
194.2077,194.4075,-56.0635
194.4075,194.6073,-56.4126
194.6073,194.8072,-56.7114
194.8072,195.007,-56.4814
195.007,195.2069,-55.3583
195.2069,195.4067,-53.3016
195.4067,195.6066,-50.7361
195.6066,195.8064,-48.4155
195.8064,196.0062,-47.1258
196.0062,196.2061,-47.3533

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9376
191.7,1.3439
191.8,1.7281
191.9,2.0796
192,2.3879
192.1,2.644
192.2,2.8393
192.3,2.9692
192.5,3.0279
192.6,2.9652
192.7,2.8555
192.8,2.7134
192.9,2.5589
193,2.4132
193.1,2.2973
193.2,2.2315
193.3,2.2301
193.4,2.3017
193.5,2.4427
193.7,2.8866
194,3.5566
194.3,3.5882
194.4,3.4234
194.6,3.0142
194.8,2.8654
194.9,3.041
195,3.442
195.1,4.0903
195.3,6.0857
195.4,7.327
195.5,8.6198
195.6,9.8614
195.7,10.9443
195.8,11.769



//TRACE,Optical Spectrum,Input 1 (Run 10) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4956
191.8095,192.0094,-57.7174
192.0094,192.2092,-57.1194
192.2092,192.4091,-56.7673
192.4091,192.6089,-56.6848
192.6089,192.8088,-56.8324
192.8088,193.0086,-57.0992
193.0086,193.2084,-57.3238
193.2084,193.4083,-57.3475
193.4083,193.6081,-57.0891
193.6081,193.808,-56.6051
193.808,194.0078,-56.0878
194.0078,194.2077,-55.7823
194.2077,194.4075,-55.8395
194.4075,194.6073,-56.1829
194.6073,194.8072,-56.4734
194.8072,195.007,-56.2301
195.007,195.2069,-55.0877
195.2069,195.4067,-53.0064
195.4067,195.6066,-50.4147
195.6066,195.8064,-48.0721
195.8064,196.0062,-46.7704
196.0062,196.2061,-46.9992

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0667
191.7,1.4782
191.8,1.8675
191.9,2.2239
192,2.537
192.1,2.7975
192.2,2.997
192.3,3.1306
192.4,3.1961
192.5,3.1959
192.6,3.136
192.7,3.0288
192.8,2.8893
192.9,2.7371
193,2.5937
193.1,2.4805
193.2,2.4174
193.3,2.4189
193.4,2.4937
193.5,2.6383
193.6,2.844
193.7,3.0896
193.8,3.3477
193.9,3.5852
194,3.7703
194.1,3.8788
194.2,3.8919
194.3,3.8103
194.4,3.6481
194.5,3.4443
194.6,3.2452
194.7,3.1111
194.8,3.1067
194.9,3.2895
195,3.6995
195.1,4.3583
195.2,5.2669
195.3,6.3788
195.4,7.6336
195.5,8.9396
195.6,10.1934
195.7,11.2867
195.8,12.1191



//TRACE,Optical Spectrum,Input 1 (Run 11) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4956
191.8095,192.0094,-57.7174
192.0094,192.2092,-57.1194
192.2092,192.4091,-56.7673
192.4091,192.6089,-56.6848
192.6089,192.8088,-56.8324
192.8088,193.0086,-57.0992
193.0086,193.2084,-57.3238
193.2084,193.4083,-57.3475
193.4083,193.6081,-57.0891
193.6081,193.808,-56.6051
193.808,194.0078,-56.0878
194.0078,194.2077,-55.7823
194.2077,194.4075,-55.8395
194.4075,194.6073,-56.1829
194.6073,194.8072,-56.4734
194.8072,195.007,-56.2301
195.007,195.2069,-55.0877
195.2069,195.4067,-53.0064
195.4067,195.6066,-50.4147
195.6066,195.8064,-48.0721
195.8064,196.0062,-46.7704
196.0062,196.2061,-46.9992

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0667
191.7,1.4782
191.8,1.8675
191.9,2.2239
192,2.537
192.1,2.7975
192.2,2.997
192.3,3.1306
192.4,3.1961
192.5,3.1959
192.6,3.136
192.7,3.0288
192.8,2.8893
192.9,2.7371
193,2.5937
193.1,2.4805
193.2,2.4174
193.3,2.4189
193.4,2.4937
193.5,2.6383
193.6,2.844
193.7,3.0896
193.8,3.3477
193.9,3.5852
194,3.7703
194.1,3.8788
194.2,3.8919
194.3,3.8103
194.4,3.6481
194.5,3.4443
194.6,3.2452
194.7,3.1111
194.8,3.1067
194.9,3.2895
195,3.6995
195.1,4.3583
195.2,5.2669
195.3,6.3788
195.4,7.6336
195.5,8.9396
195.6,10.1934
195.7,11.2867
195.8,12.1191



//TRACE,Optical Spectrum,Input 1 (Run 12) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3747
191.8095,192.0094,-57.5878
192.0094,192.2092,-56.982
192.2092,192.4091,-56.6229
192.4091,192.6089,-56.5347
192.6089,192.8088,-56.6775
192.8088,193.0086,-56.9399
193.0086,193.2084,-57.16
193.2084,193.4083,-57.1785
193.4083,193.6081,-56.9142
193.6081,193.808,-56.4237
193.808,194.0078,-55.9001
194.0078,194.2077,-55.5891
194.2077,194.4075,-55.6415
194.4075,194.6073,-55.9798
194.6073,194.8072,-56.263
194.8072,195.007,-56.008
195.007,195.2069,-54.8486
195.2069,195.4067,-52.7454
195.4067,195.6066,-50.1306
195.6066,195.8064,-47.7685
195.8064,196.0062,-46.4561
196.0062,196.2061,-46.6862

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1809
192,2.6688
192.2,3.1364
192.4,3.3419
192.6,3.287
192.7,3.1821
192.9,2.8947
193.2,2.5817
193.6,3.0202
194.1,4.0704
194.5,3.6455
194.8,3.32
194.9,3.5093
195,3.9271
195.8,12.4287



//TRACE,Optical Spectrum,Input 1 (Run 13) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4563
191.8095,192.0094,-57.6753
192.0094,192.2092,-57.0748
192.2092,192.4091,-56.7204
192.4091,192.6089,-56.6361
192.6089,192.8088,-56.7821
192.8088,193.0086,-57.0475
193.0086,193.2084,-57.2706
193.2084,193.4083,-57.2926
193.4083,193.6081,-57.0323
193.6081,193.808,-56.5462
193.808,194.0078,-56.0269
194.0078,194.2077,-55.7196
194.2077,194.4075,-55.7752
194.4075,194.6073,-56.1169
194.6073,194.8072,-56.405
194.8072,195.007,-56.158
195.007,195.2069,-55.0101
195.2069,195.4067,-52.9216
195.4067,195.6066,-50.3225
195.6066,195.8064,-47.9735
195.8064,196.0062,-46.6683
196.0062,196.2061,-46.8976

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1038
191.7,1.5168
191.8,1.9075
191.9,2.2654
192.1,2.8416
192.3,3.177
192.4,3.2435
192.9,2.7883
193.2,2.4708
193.5,2.6944
193.7,3.1479
193.9,3.6455
194,3.8316
194.1,3.9411
194.5,3.5096
194.6,3.3116
194.7,3.1787
194.8,3.176
194.9,3.3609
195,3.7734
195.1,4.4353
195.3,6.4629
195.4,7.7216
195.5,9.0314
195.8,12.2196



//TRACE,Optical Spectrum,Input 1 (Run 14) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5294
191.8095,192.0094,-57.7536
192.0094,192.2092,-57.1579
192.2092,192.4091,-56.8077
192.4091,192.6089,-56.7269
192.6089,192.8088,-56.8758
192.8088,193.0086,-57.1438
193.0086,193.2084,-57.3697
193.2084,193.4083,-57.3948
193.4083,193.6081,-57.1381
193.6081,193.808,-56.6559
193.808,194.0078,-56.1404
194.0078,194.2077,-55.8364
194.2077,194.4075,-55.895
194.4075,194.6073,-56.2397
194.6073,194.8072,-56.5323
194.8072,195.007,-56.2923
195.007,195.2069,-55.1547
195.2069,195.4067,-53.0794
195.4067,195.6066,-50.4943
195.6066,195.8064,-48.1571
195.8064,196.0062,-46.8584
196.0062,196.2061,-47.0869

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0347
191.7,1.4449
191.8,1.833
191.9,2.1882
192,2.5001
192.1,2.7595
192.2,2.958
192.3,3.0907
192.4,3.1553
192.5,3.1543
192.6,3.0937
192.7,2.9859
192.8,2.8457
193,2.549
193.1,2.4351
193.2,2.3714
193.3,2.3722
193.4,2.4462
193.5,2.5899
193.6,2.7947
193.7,3.0394
193.8,3.2965
193.9,3.5331
194.1,3.8252
194.2,3.8375
194.3,3.7553
194.4,3.5925
194.5,3.3879
194.6,3.188
194.7,3.0528
194.8,3.047
194.9,3.228
195,3.6357
195.1,4.292
195.2,5.1976
195.3,6.3062
195.4,7.5577
195.5,8.8604
195.6,10.1112
195.7,11.2019
195.8,12.0324



//TRACE,Optical Spectrum,Input 1 (Run 15) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-56.841
191.8095,192.0094,-55.9434
192.0094,192.2092,-55.2366
192.2092,192.4091,-54.7901
192.4091,192.6089,-54.6289
192.6089,192.8088,-54.7106
192.8088,193.0086,-54.9178
193.0086,193.2084,-55.0809
193.2084,193.4083,-55.0343
193.4083,193.6081,-54.6944
193.6081,193.808,-54.1215
193.808,194.0078,-53.5175
194.0078,194.2077,-53.1359
194.2077,194.4075,-53.128
194.4075,194.6073,-53.4026
194.6073,194.8072,-53.5932
194.8072,195.007,-53.1894
195.007,195.2069,-51.812
195.2069,195.4067,-49.4302
195.4067,195.6066,-46.5194
195.6066,195.8064,-43.9089
195.8064,196.0062,-42.4602
196.0062,196.2061,-42.7054

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,2.6329
192,4.3457
192.4,5.1961
193.3,4.7096
194.3,6.504



//TRACE,Optical Spectrum,Input 1 (Run 16) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.254
191.8095,192.0094,-57.4584
192.0094,192.2092,-56.8446
192.2092,192.4091,-56.4787
192.4091,192.6089,-56.3848
192.6089,192.8088,-56.5227
192.8088,193.0086,-56.7808
193.0086,193.2084,-56.9963
193.2084,193.4083,-57.0097
193.4083,193.6081,-56.7395
193.6081,193.808,-56.2425
193.808,194.0078,-55.7127
194.0078,194.2077,-55.3961
194.2077,194.4075,-55.4437
194.4075,194.6073,-55.777
194.6073,194.8072,-56.0528
194.8072,195.007,-55.7862
195.007,195.2069,-54.6096
195.2069,195.4067,-52.4847
195.4067,195.6066,-49.8468
195.6066,195.8064,-47.4652
195.8064,196.0062,-46.1421
196.0062,196.2061,-46.3733

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.2949
191.7,1.7157
191.8,2.114
191.9,2.4792
192,2.8006
192.1,3.0689
192.2,3.2757
192.3,3.416
192.4,3.4876
192.5,3.4928
192.6,3.4379
192.7,3.3353
192.8,3.2
193,2.913
193.1,2.8042
193.2,2.7459
193.3,2.7527
193.4,2.8333
193.5,2.984
193.6,3.1962
193.7,3.4485
193.8,3.7132
193.9,3.9569
194,4.148
194.1,4.2619
194.2,4.2798
194.3,4.2028
194.4,4.0452
194.5,3.8465
194.6,3.6537
194.7,3.5275
194.8,3.5332
195.4,8.1756
195.7,11.8918
195.8,12.738



//TRACE,Optical Spectrum,Input 1 (Run 17) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3334
191.8095,192.0094,-57.5435
192.0094,192.2092,-56.9349
192.2092,192.4091,-56.5735
192.4091,192.6089,-56.4834
192.6089,192.8088,-56.6245
192.8088,193.0086,-56.8854
193.0086,193.2084,-57.1039
193.2084,193.4083,-57.1207
193.4083,193.6081,-56.8544
193.6081,193.808,-56.3616
193.808,194.0078,-55.8359
194.0078,194.2077,-55.523
194.2077,194.4075,-55.5738
194.4075,194.6073,-55.9103
194.6073,194.8072,-56.191
194.8072,195.007,-55.932
195.007,195.2069,-54.7667
195.2069,195.4067,-52.6561
195.4067,195.6066,-50.0334
195.6066,195.8064,-47.6647
195.8064,196.0062,-46.3486
196.0062,196.2061,-46.579

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.2199
191.7,1.6376
191.8,2.033
191.9,2.3953
192,2.714
192.1,2.9797
192.2,3.1841
192.3,3.3222
192.4,3.3918
192.6,3.3386
192.7,3.2346
192.8,3.0979
192.9,2.9486
193,2.8081
193.1,2.6978
193.2,2.638
193.3,2.643
193.4,2.7217
193.5,2.8704
193.6,3.0805
193.8,3.5931
193.9,3.8348
194,4.0238
194.1,4.136
194.2,4.1523
194.3,4.0738
194.4,3.9147
194.5,3.7143
194.6,3.5194
194.7,3.3906
194.8,3.393
194.9,3.5845
195,4.005
195.1,4.6764
195.2,5.5993
195.3,6.7266
195.4,7.9974
195.5,9.3191
195.6,10.5873
195.8,12.5346



//TRACE,Optical Spectrum,Input 1 (Run 18) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5956
191.8095,192.0094,-57.8246
192.0094,192.2092,-57.2332
192.2092,192.4091,-56.8867
192.4091,192.6089,-56.809
192.6089,192.8088,-56.9607
192.8088,193.0086,-57.2311
193.0086,193.2084,-57.4594
193.2084,193.4083,-57.4873
193.4083,193.6081,-57.2339
193.6081,193.808,-56.7552
193.808,194.0078,-56.2431
194.0078,194.2077,-55.9422
194.2077,194.4075,-56.0033
194.4075,194.6073,-56.3509
194.6073,194.8072,-56.6475
194.8072,195.007,-56.4139
195.007,195.2069,-55.2856
195.2069,195.4067,-53.2223
195.4067,195.6066,-50.6498
195.6066,195.8064,-48.3232
195.8064,196.0062,-47.0303
196.0062,196.2061,-47.2582

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9723
191.7,1.38
191.8,1.7655
192,2.428
192.1,2.6852
192.3,3.0126
192.4,3.0755
192.5,3.073
192.6,3.011
192.7,2.902
192.8,2.7607
192.9,2.6068
193,2.4617
193.1,2.3465
193.2,2.2815
193.3,2.2808
193.4,2.3532
193.6,2.6983
193.7,2.9411
193.8,3.1965
193.9,3.4313
194,3.614
194.1,3.7203
194.2,3.7313
194.3,3.6478
194.5,3.2778
194.7,2.9389
194.8,2.9302
194.9,3.1077
195,3.5111
195.1,4.1623
195.2,5.0621
195.3,6.1644
195.4,7.4094
195.5,8.7057
195.6,9.9506
195.7,11.0363
195.8,11.863



//TRACE,Optical Spectrum,Input 1 (Run 19) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3222
191.8095,192.0094,-57.5315
192.0094,192.2092,-56.9221
192.2092,192.4091,-56.5601
192.4091,192.6089,-56.4694
192.6089,192.8088,-56.6101
192.8088,193.0086,-56.8706
193.0086,193.2084,-57.0887
193.2084,193.4083,-57.105
193.4083,193.6081,-56.8381
193.6081,193.808,-56.3448
193.808,194.0078,-55.8185
194.0078,194.2077,-55.505
194.2077,194.4075,-55.5554
194.4075,194.6073,-55.8915
194.6073,194.8072,-56.1715
194.8072,195.007,-55.9114
195.007,195.2069,-54.7445
195.2069,195.4067,-52.6319
195.4067,195.6066,-50.007
195.6066,195.8064,-47.6364
195.8064,196.0062,-46.3194
196.0062,196.2061,-46.5499

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.2305
191.7,1.6487
192.2,3.1971
192.3,3.3355
192.4,3.4053
192.8,3.1124
192.9,2.9632
193.2,2.6532
193.5,2.8864
193.7,3.3472
194,4.0414
194.1,4.1538
194.2,4.1703
194.4,3.9332
194.6,3.5384
194.9,3.6049
195,4.0262
195.1,4.6984
195.3,6.7507
195.8,12.5634



