//DATASET,
//created,Sat, 20 Feb 2021 20:56:48 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
194.4075,194.6073,-55.9932
194.6073,194.8072,-56.2769
194.8072,195.007,-56.0227
195.007,195.2069,-54.8644
195.2069,195.4067,-52.7627
195.4067,195.6066,-50.1494
195.6066,195.8064,-47.7886
195.8064,196.0062,-46.4769
196.0062,196.2061,-46.7068

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1733
191.7,1.5891
191.8,1.9827
191.9,2.3432
192.1,2.9243
192.2,3.1272
192.4,3.3323
192.5,3.3346
192.6,3.277
192.7,3.172
192.8,3.0344
192.9,2.8843
193,2.7429
193.1,2.6317
193.2,2.5709
193.3,2.5748
193.4,2.6524
193.5,2.7998
193.6,3.0086
193.7,3.2573
193.9,3.7588
194,3.9467
194.1,4.0578
194.2,4.0731
194.5,3.6322
194.6,3.436
194.7,3.3056
194.8,3.3059
194.9,3.4948
195,3.9121
195.1,4.5797
195.2,5.4982
195.3,6.6208
195.4,7.8868
195.5,9.2036
195.6,10.4675
195.8,12.4082



//TRACE,Optical Spectrum,Input 1 (Run 17) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1961
191.8095,192.0094,-57.3963
192.0094,192.2092,-56.7787
192.2092,192.4091,-56.4095
192.4091,192.6089,-56.3128
192.6089,192.8088,-56.4485
192.8088,193.0086,-56.7044
193.0086,193.2084,-56.9178
193.2084,193.4083,-56.9287
193.4083,193.6081,-56.6557
193.6081,193.808,-56.1556
193.808,194.0078,-55.6227
194.0078,194.2077,-55.3035
194.2077,194.4075,-55.3488
194.4075,194.6073,-55.6797
194.6073,194.8072,-55.952
194.8072,195.007,-55.6797
195.007,195.2069,-54.495
195.2069,195.4067,-52.3596
195.4067,195.6066,-49.7105
195.6066,195.8064,-47.3196
195.8064,196.0062,-45.9914
196.0062,196.2061,-46.2232

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.3497
192.6,3.5103
192.7,3.4088
192.8,3.2746
192.9,3.1277
193.1,2.8818
193.8,3.8008
193.9,4.0461
194.2,4.3729
194.7,3.6273
195.6,10.921



//TRACE,Optical Spectrum,Input 1 (Run 18) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5589
