//DATASET,
//created,Sun, 21 Feb 2021 13:11:08 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.2092,192.4091,-56.9633
192.4091,192.6089,-56.8887
192.6089,192.8088,-57.0429
192.8088,193.0086,-57.3156
193.0086,193.2084,-57.5463
193.2084,193.4083,-57.577
193.4083,193.6081,-57.3267
193.6081,193.808,-56.8514
193.808,194.0078,-56.3427
194.0078,194.2077,-56.0448
194.2077,194.4075,-56.1084
194.4075,194.6073,-56.4586
194.6073,194.8072,-56.7591
194.8072,195.007,-56.5318
195.007,195.2069,-55.4126
195.2069,195.4067,-53.3608
195.4067,195.6066,-50.8005
195.6066,195.8064,-48.4843
195.8064,196.0062,-47.1971
196.0062,196.2061,-47.4243

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9117
191.7,1.317
191.8,1.7001
191.9,2.0506
192,2.3581
192.2,2.8078
192.3,2.9369
192.4,2.9982
192.5,2.9942
192.6,2.9309
192.7,2.8207
192.9,2.5232
193,2.377
193.2,2.1943
193.5,2.4035
193.6,2.6049
193.8,3.0995
193.9,3.3327
194,3.5138
194.1,3.6187
194.2,3.6284
194.3,3.5437
194.4,3.3784
194.5,3.1711
194.7,2.8284
194.8,2.8171
194.9,2.9911
195,3.3904
195.2,4.9308
195.3,6.0269
195.4,7.2656
195.5,8.5557
195.6,9.7949
195.7,10.8757
195.8,11.6988



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5636
191.8095,192.0094,-57.7902
192.0094,192.2092,-57.1967
192.2092,192.4091,-56.8485
192.4091,192.6089,-56.7692
192.6089,192.8088,-56.9196
192.8088,193.0086,-57.1888
193.0086,193.2084,-57.4159
193.2084,193.4083,-57.4425
193.4083,193.6081,-57.1875
193.6081,193.808,-56.7071
193.808,194.0078,-56.1934
194.0078,194.2077,-55.891
194.2077,194.4075,-55.9509
194.4075,194.6073,-56.2971
194.6073,194.8072,-56.5917
194.8072,195.007,-56.355
195.007,195.2069,-55.2222
195.2069,195.4067,-53.1531
195.4067,195.6066,-50.5745
195.6066,195.8064,-48.2428
195.8064,196.0062,-46.9471
196.0062,196.2061,-47.1752

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.7982
192.2,2.9186
192.3,3.0504
192.4,3.1142
193.1,2.3894
193.3,2.325
193.4,2.3983
194,3.6641
195,3.5715
195.2,5.1277
195.3,6.2331
195.4,7.4812
195.6,10.0283



