//DATASET,
//created,Sun, 07 Feb 2021 22:54:44 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
195.4067,195.6066,-49.6902
195.6066,195.8064,-47.2979
195.8064,196.0062,-45.9689
196.0062,196.2061,-46.2008



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.7555
191.7,2.1949
191.8,2.6115
191.9,2.9943
192.3,3.9919
192.4,4.0757
192.5,4.092
192.6,4.0471
192.7,3.9538
192.8,3.8272
193,3.5572
193.1,3.4575
193.2,3.409
193.5,3.6817
193.7,4.1727
193.9,4.7073
194.3,4.995
194.4,4.8466
194.5,4.6583
194.6,4.478
194.7,4.3676
194.8,4.3939
195.1,5.7882
195.4,9.2693
195.5,10.6458

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.767
191.8095,192.0094,-56.9363
192.0094,192.2092,-56.2905
192.2092,192.4091,-55.8969
192.4091,192.6089,-55.7797
192.6089,192.8088,-55.8983
192.8088,193.0086,-56.1388
193.0086,193.2084,-56.3362
193.2084,193.4083,-56.3289
193.4083,193.6081,-56.0346
193.6081,193.808,-55.5116
193.808,194.0078,-54.9562
194.0078,194.2077,-54.6173
194.2077,194.4075,-54.6458
194.4075,194.6073,-54.9587
194.6073,194.8072,-55.2051
194.8072,195.007,-54.8912
195.007,195.2069,-53.6457
195.2069,195.4067,-51.4326
195.4067,195.6066,-48.7009
195.6066,195.8064,-46.2407
195.8064,196.0062,-44.8744
196.0062,196.2061,-45.1105



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,2.0765
192.4,3.4432
192.9,3.0042
193.8,3.6576
194,4.0905
194.7,3.4641
195.5,9.4189

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2907
191.8095,192.0094,-57.4978
192.0094,192.2092,-56.8864
192.2092,192.4091,-56.5226
192.4091,192.6089,-56.4304
192.6089,192.8088,-56.5698
192.8088,193.0086,-56.8292
193.0086,193.2084,-57.0461
193.2084,193.4083,-57.0611
193.4083,193.6081,-56.7926
193.6081,193.808,-56.2976
193.808,194.0078,-55.7697
194.0078,194.2077,-55.4548
194.2077,194.4075,-55.5039
194.4075,194.6073,-55.8387
194.6073,194.8072,-56.1168
194.8072,195.007,-55.8537
195.007,195.2069,-54.6823
195.2069,195.4067,-52.564
195.4067,195.6066,-49.9331
195.6066,195.8064,-47.5575
195.8064,196.0062,-46.2377
196.0062,196.2061,-46.4685



//TRACE,Optical Spectrum,Input 1 (Run 10) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8808
191.9,2.016
192,2.3223
192.2,2.77
192.4,2.9587
192.5,2.954
192.7,2.7792
192.9,2.4805
193,2.3337
193.2,2.1498
193.4,2.2171
193.6,2.5571
193.7,2.7973
193.9,3.2823
194.3,3.4905
194.4,3.3246
194.5,3.1166
194.6,2.9125
194.7,2.772
195.3,5.9567
195.4,7.1921
195.5,8.479
195.6,9.7153
195.8,11.6149

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6925
191.8095,192.0094,-57.9284
192.0094,192.2092,-57.3434
192.2092,192.4091,-57.0025
192.4091,192.6089,-56.9294
192.6089,192.8088,-57.0849
192.8088,193.0086,-57.3588
193.0086,193.2084,-57.5908
193.2084,193.4083,-57.6228
193.4083,193.6081,-57.3742
193.6081,193.808,-56.9006
193.808,194.0078,-56.3936
194.0078,194.2077,-56.0972
194.2077,194.4075,-56.1621
194.4075,194.6073,-56.5137
194.6073,194.8072,-56.8162
194.8072,195.007,-56.5921
195.007,195.2069,-55.4774
195.2069,195.4067,-53.4315
195.4067,195.6066,-50.8776
195.6066,195.8064,-48.5666
195.8064,196.0062,-47.2822
196.0062,196.2061,-47.5091



//TRACE,Optical Spectrum,Input 1 (Run 11) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192,2.8971
193,3.0299
193.2,2.8662
193.3,2.8749
193.9,4.0931
194,4.2863
194.9,3.8898
195.5,9.7119

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1656
191.8095,192.0094,-57.3636
192.0094,192.2092,-56.744
192.2092,192.4091,-56.3731
192.4091,192.6089,-56.2749
192.6089,192.8088,-56.4094
192.8088,193.0086,-56.6642
193.0086,193.2084,-56.8765
193.2084,193.4083,-56.8861
193.4083,193.6081,-56.6115
193.6081,193.808,-56.1098
193.808,194.0078,-55.5753
194.0078,194.2077,-55.2547
194.2077,194.4075,-55.2989
194.4075,194.6073,-55.6284
194.6073,194.8072,-55.8989
194.8072,195.007,-55.6237
195.007,195.2069,-54.4347
195.2069,195.4067,-52.2937
195.4067,195.6066,-49.6388
195.6066,195.8064,-47.243
195.8064,196.0062,-45.9121
196.0062,196.2061,-46.1442



//TRACE,Optical Spectrum,Input 1 (Run 12) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1517
191.7,1.5666
191.8,1.9593
191.9,2.319
192,2.6352
192.1,2.8986
192.2,3.1008
192.3,3.2369
192.4,3.3047
192.5,3.3065
192.6,3.2484
192.8,3.005
192.9,2.8544
193,2.7126
193.1,2.601
193.2,2.5397
193.3,2.5432
193.4,2.6202
193.5,2.767
193.6,2.9752
193.7,3.2233
193.9,3.7236
194,3.911
194.2,4.0363
194.3,3.9564
194.4,3.796
194.5,3.5941
194.6,3.3973
195,3.869
195.1,4.5348
195.2,5.4513
195.3,6.5717
195.5,9.1501
195.7,11.512
195.8,12.3496

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4056
191.8095,192.0094,-57.6209
192.0094,192.2092,-57.0171
192.2092,192.4091,-56.6598
192.4091,192.6089,-56.573
192.6089,192.8088,-56.7171
192.8088,193.0086,-56.9806
193.0086,193.2084,-57.2018
193.2084,193.4083,-57.2216
193.4083,193.6081,-56.9589
193.6081,193.808,-56.47
193.808,194.0078,-55.9481
194.0078,194.2077,-55.6384
194.2077,194.4075,-55.6921
194.4075,194.6073,-56.0317
194.6073,194.8072,-56.3167
194.8072,195.007,-56.0647
195.007,195.2069,-54.9096
195.2069,195.4067,-52.8121
195.4067,195.6066,-50.2032
195.6066,195.8064,-47.8461
195.8064,196.0062,-46.5364
196.0062,196.2061,-46.7661



//TRACE,Optical Spectrum,Input 1 (Run 13) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.021
191.8,1.8182
191.9,2.1729
192,2.4843
192.1,2.7432
192.2,2.9412
192.3,3.0735
192.5,3.1365
192.6,3.0755
192.7,2.9675
192.8,2.8271
192.9,2.6741
193,2.5299
193.1,2.4157
193.4,2.4258
193.6,2.7736
193.7,3.0178
193.8,3.2746
193.9,3.5108
194,3.6947
194.3,3.7317
194.4,3.5686
194.7,3.0278
194.8,3.0214
195.3,6.2751
195.5,8.8265
195.7,11.1656
195.8,11.9953

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.544
191.8095,192.0094,-57.7692
192.0094,192.2092,-57.1744
192.2092,192.4091,-56.825
192.4091,192.6089,-56.7449
192.6089,192.8088,-56.8944
192.8088,193.0086,-57.163
193.0086,193.2084,-57.3893
193.2084,193.4083,-57.4151
193.4083,193.6081,-57.1591
193.6081,193.808,-56.6776
193.808,194.0078,-56.1629
194.0078,194.2077,-55.8596
194.2077,194.4075,-55.9187
194.4075,194.6073,-56.2641
194.6073,194.8072,-56.5575
194.8072,195.007,-56.319
195.007,195.2069,-55.1834
195.2069,195.4067,-53.1108
195.4067,195.6066,-50.5284
195.6066,195.8064,-48.1935
195.8064,196.0062,-46.8961
196.0062,196.2061,-47.1245



//TRACE,Optical Spectrum,Input 1 (Run 14) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,2.0385
192.4,3.3983
192.6,3.3454
194.1,4.1446
194.6,3.5285
194.9,3.5943
195.5,9.3317

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.328
191.8095,192.0094,-57.5377
192.0094,192.2092,-56.9288
192.2092,192.4091,-56.5671
192.4091,192.6089,-56.4767
192.6089,192.8088,-56.6176
192.8088,193.0086,-56.8783
193.0086,193.2084,-57.0966
193.2084,193.4083,-57.1132
193.4083,193.6081,-56.8466
193.6081,193.808,-56.3535
193.808,194.0078,-55.8276
194.0078,194.2077,-55.5144
194.2077,194.4075,-55.565
194.4075,194.6073,-55.9013
194.6073,194.8072,-56.1816
194.8072,195.007,-55.9221
195.007,195.2069,-54.7561
195.2069,195.4067,-52.6445
195.4067,195.6066,-50.0207
195.6066,195.8064,-47.6511
195.8064,196.0062,-46.3346
196.0062,196.2061,-46.5651



//TRACE,Optical Spectrum,Input 1 (Run 15) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192,2.5653
192.2,3.0269
192.4,3.2273
192.8,2.9226
193,2.628
193.1,2.5151
193.3,2.4547
193.4,2.5301
193.5,2.6753
193.6,2.8818
193.7,3.1281
194,3.8108
194.2,3.9334
194.3,3.8523
194.6,3.289
194.7,3.1557
194.8,3.1524
194.9,3.3366
195.1,4.4091
195.2,5.32
195.3,6.4343
195.4,7.6917
195.5,9.0001
195.7,11.3515

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4697
191.8095,192.0094,-57.6896
192.0094,192.2092,-57.09
192.2092,192.4091,-56.7364
192.4091,192.6089,-56.6527
192.6089,192.8088,-56.7993
192.8088,193.0086,-57.0651
193.0086,193.2084,-57.2887
193.2084,193.4083,-57.3113
193.4083,193.6081,-57.0517
193.6081,193.808,-56.5662
193.808,194.0078,-56.0476
194.0078,194.2077,-55.7409
194.2077,194.4075,-55.7971
194.4075,194.6073,-56.1394
194.6073,194.8072,-56.4283
194.8072,195.007,-56.1825
195.007,195.2069,-55.0365
195.2069,195.4067,-52.9505
195.4067,195.6066,-50.3539
195.6066,195.8064,-48.0071
195.8064,196.0062,-46.7031
